WarehouseId,PIMCoreWarehouseID,PostalCode,Name,isSwept,BDWPLocationID
2000003,69427,91605,Alessco Inc Warehouse CA,0,NULL
2000004,71077,22312,Alexandria,0,NULL
2000006,69432,33178,Aljoma,0,NULL
2000007,69437,33172,Alucom Miami,0,NULL
2000008,69439,65721,Alucom Missouri,0,NULL
2000010,69911,92805,Anaheim - EmilAmerica Inc,0,NULL
2000011,69932,92805,Anaheim - Eurowest,0,NULL
2000012,70153,92805,Anaheim - Iris US,1,2000505
2000013,70554,92806,Anaheim - National Turf Supply,0,NULL
2000027,71014,98499,West Coast WA,0,NULL
2000029,69481,92618,ASC International LLC.,0,NULL
2000030,70694,70043,Associated Terminals of St. Bernard,0,NULL
2000034,69537,31216,B&D Thermo-Treated Lumber LLC,0,NULL
2000039,70244,29812,Kronotex - Barnwell SC,0,NULL
2000049,69566,37918,Braxton-Bragg,0,NULL
2000053,69582,20085,BURAKHAN,0,NULL
2000055,69587,V2W1B6,BW CREATIVE RAILINGS (RailSimple),0,NULL
2000056,69597,95965,Cal-Flor,0,NULL
2000059,70519,77020,Cargo Ways,0,NULL
2000060,69612,28704,Carolina Colortones NC,0,NULL
2000061,69602,29643,Carolina Stone Seneca SC,0,NULL
2000064,69622,95023,"Cedar Valley Mfg, Inc.",0,NULL
2000065,70445,60431,CeilingKwik,0,NULL
2000066,70014,NULL,Chennai,0,NULL
2000074,70236,16254,Clarion Warehouse,0,NULL
2000075,69653,98032,"Classic Accessories, Inc.",0,NULL
2000076,69648,N9Y1N5,Classy Caps Mfg. Inc.,0,NULL
2000082,69692,76033,Creative Crown Warehouse - TX,0,NULL
2000084,69934,38555,Crossville,0,NULL
2000087,69701,92806,Daltile - Anaheim CA,0,NULL
2000093,69713,60007,Daltile - Chicago IL,0,NULL
2000094,69715,08512,Daltile - Cranbury NJ,0,NULL
2000095,69717,80223,Daltile - Denver CO,0,NULL
2000097,69721,21784,Daltile - Eldersburg MD,0,NULL
2000098,69723,33912,Daltile - Fort Myers FL,0,NULL
2000099,69725,32256,Daltile - Jacksonville FL,0,NULL
2000101,69729,91761,Daltile - Ontario CA,0,NULL
2000102,69731,32808,Daltile - Orlando FL,0,NULL
2000103,69733,33023,Daltile - Pembroke Park FL,0,NULL
2000106,69739,78216,Daltile - San Antonio TX,0,NULL
2000107,69741,92111,Daltile - San Diego CA,0,NULL
2000109,69745,98108,Daltile - Seattle WA,0,NULL
2000111,69749,63146,Daltile - St. Louis MO,0,NULL
2000112,69751,75182,Daltile - Sunnyvale TX,0,NULL
2000113,69753,33634,Daltile - Tampa FL,0,NULL
2000117,70238,30721,Dalton - Main Warehouse,0,NULL
2000120,69774,91767,Dekorman-LA,0,NULL
2000126,69788,30720,DeZign North America LLC,0,NULL
2000128,69792,V1E4S1,DinoFlex Group LP,0,NULL
2000130,69811,07012,Dritac Flooring Products LLC,0,NULL
2000131,69913,20166,Dulles,0,NULL
2000143,71083,08816,East Brunswick NJ,0,NULL
2000144,69854,19030,East Teak PA - Fairless Hills,0,NULL
2000145,69856,29638,East Teak SC,0,NULL
2000148,69864,91764,Eco Element - Ontario - CA,0,NULL
2000150,69453,91748,ECOfusion dba HF International Group,0,NULL
2000153,70883,91731,El Monte,1,2000505
2000156,69885,92806,Eleganza Tiles CA,1,2000505
2000158,69889,60007,Eleganza Tiles IL,1,2000514
2000159,69891,08817,Eleganza Tiles NJ,1,2000507
2000160,69893,75234,Eleganza Tiles TX,1,2000819
2000162,69905,27320,Elof Hansson NC,0,NULL
2000166,69950,36551,Far East American,0,NULL
2000167,69954,V6X2P9,Fenghe International Trading Ltd,0,NULL
2000171,69985,30701,Foam Products Corporation,0,NULL
2000182,70696,07033,Fox Intermodal Corporation,0,NULL
2000184,70001,54476,From the Forest - WI,0,NULL
2000187,70922,L4B1K2,Garson,0,NULL
2000189,70023,V6V 2M3,GL Stone,0,NULL
2000190,70038,L5W1Y5,Gracious Living Innovations Inc.,0,NULL
2000193,70064,77063,"GulfCoast ard,inc",0,NULL
2000195,70077,31326,Halstead GA,0,NULL
