ProductItemId,WarehouseID,SourceNodeID,ProductAvailability
10082128,2000505,233847,0
10082129,2000505,233847,0
10082130,2000505,233847,0
10080180,2000505,233847,0
10080184,2000505,233847,0
10081209,2000505,233847,0
10081211,2000505,233847,0
10081215,2000505,233847,0
10081259,2000505,233847,0
10081260,2000505,233847,0
10080180,2000514,233846,0
10080184,2000514,233846,0
10081209,2000514,233846,0
10081211,2000514,233846,0
10081215,2000514,233846,0
10081259,2000514,233846,0
10081260,2000514,233846,0
10082128,2000514,233846,0
10082129,2000514,233846,0
10082130,2000514,233846,0
15020795,2000514,130322,223
15020801,2000514,130322,357
15020804,2000514,130322,102
10080180,2000819,233844,0
10080184,2000819,233844,0
10081209,2000819,233844,0
10081211,2000819,233844,0
10081215,2000819,233844,0
10081259,2000819,233844,0
10081260,2000819,233844,0
10082128,2000819,233844,0
10082129,2000819,233844,0
10082130,2000819,233844,0
15020795,2000819,208136,223
15020801,2000819,208136,357
15020804,2000819,208136,102
10080180,2000507,233845,0
10080184,2000507,233845,0
10081209,2000507,233845,0
10081211,2000507,233845,0
10081215,2000507,233845,0
10081259,2000507,233845,0
10081260,2000507,233845,0
10082128,2000507,233845,0
10082129,2000507,233845,0
10082130,2000507,233845,0
10081158,2000094,110309,0
10107344,2000507,134456,3
15020795,2000511,109286,223
15020801,2000511,109286,357
15020804,2000511,109286,102
15020795,2000507,115144,223
15020795,2000505,109285,223
15020801,2000507,115144,357
15020801,2000505,109285,357
15020804,2000507,115144,102
15020804,2000505,109285,102
15020795,2000502,112766,0
15020801,2000502,112766,0
15020804,2000502,112766,0
10107344,2000819,208186,0
10081215,2000511,133441,283
10081259,2000511,133441,242
10081260,2000511,133441,50
10107344,2000505,199375,0
10080184,2000511,133441,293
10082130,2000511,133441,147
10081155,2000094,110309,0
10081156,2000094,110309,0
10082128,2000511,133441,762
10082129,2000511,133441,28
10107344,2000514,134457,0
10081157,2000094,110309,0
10107344,2000511,199374,0
10080180,2000511,133441,156
10081209,2000511,133441,405
10081211,2000511,133441,260
